Município,Mês,Quantidade
ALTO PARAISO DE GOIAS,September de 2022,0.0
ALTO PARAISO DE GOIAS,October de 2022,0.0
ALTO PARAISO DE GOIAS,November de 2022,0.0
ALTO PARAISO DE GOIAS,December de 2022,0.0
ALTO PARAISO DE GOIAS,January de 2023,0.0
ALTO PARAISO DE GOIAS,February de 2023,1.0
ALTO PARAISO DE GOIAS,March de 2023,0.0
ALTO PARAISO DE GOIAS,April de 2023,0.0
ALTO PARAISO DE GOIAS,May de 2023,0.0
ALTO PARAISO DE GOIAS,June de 2023,0.0
ALTO PARAISO DE GOIAS,July de 2023,0.0
ALTO PARAISO DE GOIAS,August de 2023,0.0
ALTO PARAISO DE GOIAS,September de 2023,0.0
ALTO PARAISO DE GOIAS,October de 2023,0.0
ALTO PARAISO DE GOIAS,November de 2023,0.0
ALTO PARAISO DE GOIAS,December de 2023,0.0
ALTO PARAISO DE GOIAS,January de 2024,0.0
ALTO PARAISO DE GOIAS,February de 2024,0.0
ALTO PARAISO DE GOIAS,March de 2024,0.0
ALTO PARAISO DE GOIAS,April de 2024,0.0
ALTO PARAISO DE GOIAS,May de 2024,0.0
ALTO PARAISO DE GOIAS,June de 2024,0.0
ALTO PARAISO DE GOIAS,July de 2024,0.0
ALTO PARAISO DE GOIAS,August de 2024,0.0
ALVORADA DO NORTE,January de 2021,0.0
ALVORADA DO NORTE,February de 2021,0.0
ALVORADA DO NORTE,March de 2021,0.0
ALVORADA DO NORTE,April de 2021,1.0
ALVORADA DO NORTE,May de 2021,0.0
ALVORADA DO NORTE,June de 2021,1.0
ALVORADA DO NORTE,July de 2021,0.0
ALVORADA DO NORTE,August de 2021,0.0
ALVORADA DO NORTE,September de 2021,0.0
ALVORADA DO NORTE,October de 2021,0.0
ALVORADA DO NORTE,November de 2021,0.0
ALVORADA DO NORTE,December de 2021,0.0
ALVORADA DO NORTE,January de 2022,0.0
ALVORADA DO NORTE,February de 2022,0.0
ALVORADA DO NORTE,March de 2022,1.0
ALVORADA DO NORTE,April de 2022,0.0
ALVORADA DO NORTE,May de 2022,0.0
ALVORADA DO NORTE,June de 2022,0.0
ALVORADA DO NORTE,July de 2022,0.0
ALVORADA DO NORTE,August de 2022,0.0
ALVORADA DO NORTE,September de 2022,0.0
ALVORADA DO NORTE,October de 2022,0.0
ALVORADA DO NORTE,November de 2022,0.0
ALVORADA DO NORTE,December de 2022,0.0
ALVORADA DO NORTE,January de 2023,0.0
ALVORADA DO NORTE,February de 2023,0.0
ALVORADA DO NORTE,March de 2023,1.0
ALVORADA DO NORTE,April de 2023,0.0
ALVORADA DO NORTE,May de 2023,0.0
ALVORADA DO NORTE,June de 2023,0.0
ALVORADA DO NORTE,July de 2023,0.0
ALVORADA DO NORTE,August de 2023,0.0
ALVORADA DO NORTE,September de 2023,0.0
ALVORADA DO NORTE,October de 2023,0.0
ALVORADA DO NORTE,November de 2023,0.0
ALVORADA DO NORTE,December de 2023,0.0
ALVORADA DO NORTE,January de 2024,0.0
ALVORADA DO NORTE,February de 2024,0.0
ALVORADA DO NORTE,March de 2024,0.0
ALVORADA DO NORTE,April de 2024,0.0
ALVORADA DO NORTE,May de 2024,0.0
ALVORADA DO NORTE,June de 2024,0.0
ALVORADA DO NORTE,July de 2024,0.0
ALVORADA DO NORTE,August de 2024,0.0
AMARALINA,January de 2021,0.0
AMARALINA,February de 2021,0.0
AMARALINA,March de 2021,0.0
AMARALINA,April de 2021,0.0
AMARALINA,May de 2021,0.0
AMARALINA,June de 2021,0.0
AMARALINA,July de 2021,0.0
AMARALINA,August de 2021,0.0
AMARALINA,September de 2021,0.0
AMARALINA,October de 2021,0.0
AMARALINA,November de 2021,0.0
AMARALINA,December de 2021,0.0
AMARALINA,January de 2022,0.0
AMARALINA,February de 2022,0.0
AMARALINA,March de 2022,0.0
AMARALINA,April de 2022,0.0
AMARALINA,May de 2022,0.0
AMARALINA,June de 2022,1.0
AMARALINA,July de 2022,0.0
AMARALINA,August de 2022,0.0
AMARALINA,September de 2022,0.0
AMARALINA,October de 2022,0.0
AMARALINA,November de 2022,0.0
AMARALINA,December de 2022,0.0
